Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Carlisle companies inc,CSL,"",56400.0,10794000.0,0.0135,0.0256,1122,-68800.0,-54.952077,reduction,0.1080628,Q2 2019,INDUSTRIALS,13F,06/30/2021,164.58,207.52
Express inc,EXPR,"",1661935.0,10786000.0,0.0135,0.0003,1123,1594721.0,2372.602434,addition,2.5066978,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2021,6.3909,6.02
Peabody energy corp,BTU,"",1359485.0,10781000.0,0.0135,0.0085,1124,-866068.0,-38.914733,reduction,1.3829959,Q3 2017,ENERGY,13F,06/30/2021,22.9,13.44
Ptc inc.,PTC,"",76100.0,10750000.0,0.0134,,1125,76100.0,,new,0.0651236,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,141.26,132.01
Ferrari n.v.,RACE,"",52048.0,10730000.0,0.0134,0.0285,1126,-57352.0,-52.424132,reduction,0.0281724,Q3 2019,CONSUMER DISCRETIONARY,13F,06/30/2021,209.28,225.88
Flushing financial corp,FFIC,"",499460.0,10703000.0,0.0134,0.0119,1127,49200.0,10.92702,addition,1.6135153,Q1 2011,FINANCE,13F,06/30/2021,21.7365,22.82
Franklin street properties corp,FSP,"",2034437.0,10701000.0,0.0134,0.016,1128,-322100.0,-13.668362,reduction,1.8955289,Q3 2014,REAL ESTATE,13F,06/30/2021,9.56,4.86
Formfactor inc,FORM,"",293068.0,10685000.0,0.0133,0.0138,1129,46800.0,19.003687,addition,0.3775544,Q2 2010,INFORMATION TECHNOLOGY,13F,06/30/2021,31.2921,34.97
New relic inc,NEWR,"",159500.0,10682000.0,0.0133,,1130,159500.0,,new,0.2500227,Q4 2016,INFORMATION TECHNOLOGY,13F,06/30/2021,66.97,80.14
Heartland express  inc.,HTLD,"",623231.0,10676000.0,0.0133,0.0183,1131,-128482.0,-17.091895,reduction,0.7799584,Q1 2017,TRANSPORTS,13F,06/30/2021,19.38,16.63
Chuys holdings inc,CHUY,"",286100.0,10660000.0,0.0133,0.021,1132,-94400.0,-24.809461,reduction,1.4314857,Q3 2015,INDUSTRIALS,13F,06/30/2021,25.8,31.2
Northwestern corp,NWE,"",176526.0,10630000.0,0.0133,,1133,176526.0,,new,0.3483479,Q1 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,60.22,63.15
Universal technical institute inc,UTI,"",1632938.0,10598000.0,0.0132,0.0118,1134,8920.0,0.549255,addition,4.9763690,Q3 2008,CONSUMER DISCRETIONARY,13F,06/30/2021,7.7829,6.8
Vaalco energy inc,EGY,"",3250812.0,10565000.0,0.0132,0.01,1135,-326586.0,-9.129149,reduction,5.6115664,Q1 2005,ENERGY,13F,06/30/2021,1.77,2.54
Cargurus inc,CARG,"",402600.0,10560000.0,0.0132,0.0291,1136,-579400.0,-59.002037,reduction,0.4069745,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,29.15,29.93
Liberty sirius xm group  series c,LSXMK,"",227000.0,10531000.0,0.0131,0.0121,1137,6100.0,2.761431,addition,0.0998115,Q1 2017,COMMUNICATIONS,13F,06/30/2021,44.1713,47.7
Mattel inc.,MAT,"",523800.0,10528000.0,0.0131,0.0274,1138,-582100.0,-52.635862,reduction,0.1501824,Q4 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,18.37,21.91
Old second bancorp inc,OSBC,"",847825.0,10513000.0,0.0131,0.0142,1139,-13300.0,-1.544491,reduction,2.9377653,Q3 2010,FINANCE,13F,06/30/2021,9.8,12.05
Peapack-gladstone financial corp,PGC,"",336720.0,10462000.0,0.0131,0.0147,1140,-46100.0,-12.042213,reduction,1.7688711,Q2 2012,FINANCE,13F,06/30/2021,23.09,33.11
Canaan inc. adr,CAN,"",1280472.0,10436000.0,0.013,0.0052,1141,1076800.0,528.693193,addition,0.9321120,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,10.1414,9.26
Townsquare media inc,TSQ,"",818273.0,10433000.0,0.013,0.0109,1142,521.0,0.063711,addition,5.5761362,Q1 2016,COMMUNICATIONS,13F,06/30/2021,8.7825,12.67
Burlington stores inc,BURL,"",32400.0,10432000.0,0.013,,1143,32400.0,,new,0.0486631,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,321.99,342.85
Mizuho financial group inc. adr,MFG,"",3633331.0,10355000.0,0.0129,0.015,1144,-502470.0,-12.149279,reduction,0.0286174,Q2 2007,FINANCE,13F,06/30/2021,3.2,2.96
Wingstop inc,WING,"",65610.0,10342000.0,0.0129,0.0139,1145,-22393.0,-25.445723,reduction,0.2206354,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,78.28,170.04
Enzo biochem inc.,ENZ,"",3259264.0,10332000.0,0.0129,0.0143,1146,-81600.0,-2.442482,reduction,6.7240456,Q2 2008,HEALTH CARE,13F,06/30/2021,4.79,3.1
Dhi group inc (dice holdings  inc.),DHX,"",3055158.0,10326000.0,0.0129,0.0126,1147,35848.0,1.187291,addition,5.8554109,Q3 2013,COMMUNICATIONS,13F,06/30/2021,4.6055,3.88
Aemetis inc,AMTX,"",923649.0,10317000.0,0.0129,0.0513,1148,-757400.0,-45.055201,reduction,2.9402029,Q2 2020,ENERGY,13F,06/30/2021,2.43,9.78
Golden star resources ltd,GSS,"",3644926.0,10314000.0,0.0129,0.0129,1149,119567.0,3.391626,addition,3.1779996,Q2 2012,MATERIALS,13F,06/30/2021,29.9599,2.25
Artisan partners asset management inc,APAM,"",202719.0,10302000.0,0.0129,0.0754,1150,-959221.0,-82.553402,reduction,0.3127326,Q2 2017,COMMUNICATIONS,13F,06/30/2021,26.99,52.21
Timberland bancorp  inc.,TSBK,"",366289.0,10300000.0,0.0129,0.0129,1151,-7956.0,-2.12588,reduction,4.3799243,Q3 2006,FINANCE,13F,06/30/2021,19.57,29.37
Vroom  inc.,VRM,"",245921.0,10294000.0,0.0129,,1152,245921.0,,new,0.1802196,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,41.86,30.05
Harvard bioscience inc,HBIO,"",1233345.0,10274000.0,0.0128,0.0097,1153,-194300.0,-13.609826,reduction,3.0867028,Q1 2006,HEALTH CARE,13F,06/30/2021,3.53,8.46
Ozon holdings plc,OZON,"",175100.0,10264000.0,0.0128,,1154,175100.0,,new,0.0859471,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,58.62,51.99
Big lots inc,BIG,"",155400.0,10258000.0,0.0128,0.0189,1155,-67300.0,-30.220027,reduction,0.4486211,Q2 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,68.3,57.93
Lakeland bancorp  inc.,LBAI,"",586400.0,10250000.0,0.0128,0.0146,1156,-86600.0,-12.867756,reduction,1.1588624,Q2 2011,FINANCE,13F,06/30/2021,16.1,16.42
Thomson reuters corp.,TRI,"",103206.0,10250000.0,0.0128,0.0604,1157,-451554.0,-81.396279,reduction,0.0208222,Q2 2019,COMMUNICATIONS,13F,06/30/2021,82.21,114.67
Financial institutions  inc.,FISI,"",340900.0,10227000.0,0.0128,0.0143,1158,-39700.0,-10.430899,reduction,2.1536558,Q2 2006,FINANCE,13F,06/30/2021,28.47,32.6
Macatawa bank corp.,MCBC,"",1167517.0,10216000.0,0.0128,0.0143,1159,11900.0,1.029753,addition,3.4144781,Q1 2011,FINANCE,13F,06/30/2021,7.7008,8.4
Sinopec shanghai petrochemical co ltd adr,SHI,"",436817.0,10213000.0,0.0127,0.014,1160,-38900.0,-8.177131,reduction,1.2498340,Q3 2014,MATERIALS,13F,06/30/2021,37.49,21.13
Mfa financial  inc.,MFA,"",2223400.0,10205000.0,0.0127,0.0177,1161,-1264400.0,-36.252079,reduction,0.5038506,Q4 2020,REAL ESTATE,13F,06/30/2021,3.94,4.63
Nordson corporation,NDSN,"",46414.0,10188000.0,0.0127,0.0016,1162,39900.0,612.526865,addition,0.0799061,Q1 2021,INDUSTRIALS,13F,06/30/2021,216.5866,228.59
Jbg smith properties,JBGS,"",322900.0,10175000.0,0.0127,0.0083,1163,112500.0,53.469582,addition,0.2455529,Q3 2018,REAL ESTATE,13F,06/30/2021,31.4383,30.51
Bbq holdings ord shs,BBQ,"",534348.0,10142000.0,0.0127,0.0048,1164,2397.0,0.450605,addition,N/A,Q3 2019, ,13F,06/30/2021,,
Schrodinger  inc.,SDGR,"",134100.0,10139000.0,0.0127,0.0086,1165,43300.0,47.687225,addition,0.2186142,Q2 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,76.0704,59.66
Korn ferry,KFY,"",139700.0,10135000.0,0.0127,,1166,139700.0,,new,0.2586713,Q2 2021,INDUSTRIALS,13F,06/30/2021,72.55,67.92
Airgain inc,AIRG,"",489487.0,10093000.0,0.0126,0.0126,1167,12751.0,2.674646,addition,4.6455190,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,12.7505,14.82
Core molding technologies inc.,CMT,"",652464.0,10068000.0,0.0126,0.0096,1168,-4200.0,-0.639597,reduction,7.6900910,Q4 2006,MATERIALS,13F,06/30/2021,14.28,14.63
Magic software enterprises ltd,MGIC,"",618464.0,10038000.0,0.0125,0.0121,1169,-19700.0,-3.086981,reduction,1.2612691,Q3 2014,INFORMATION TECHNOLOGY,13F,06/30/2021,8.28,19.15
Avient corp. (polyone corp.),AVNT,"",202958.0,9977000.0,0.0125,0.0017,1170,174083.0,602.884848,addition,0.2223140,Q1 2016,MATERIALS,13F,06/30/2021,46.4782,49.9
Sarepta therapeutics inc,SRPT,"",127978.0,9949000.0,0.0124,,1171,127978.0,,new,0.1604245,Q2 2021,HEALTH CARE,13F,06/30/2021,77.74,79.94
Kinder morgan inc. (de),KMI,"",545531.0,9945000.0,0.0124,0.0126,1172,-64000.0,-10.499876,reduction,0.0240897,Q2 2020,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,14.93,17.21
Howard hughes corp (the),HHC,"",102000.0,9941000.0,0.0124,0.0059,1173,52100.0,104.408818,addition,0.1850837,Q3 2017,REAL ESTATE,13F,06/30/2021,91.3693,90.74
Gfl environmental inc. subordinate voting shares,GFL,"",311047.0,9929000.0,0.0124,,1174,311047.0,,new,0.0985149,Q2 2020,INDUSTRIALS,13F,06/30/2021,31.92,35.59
Trinseo s.a.,TSE,"",165800.0,9921000.0,0.0124,0.0124,1175,9600.0,6.145967,addition,0.4279920,Q2 2015,MATERIALS,13F,06/30/2021,50.0422,51.03
Site centers corp. (developers diversified realty - ddr corp.),SITC,"",658156.0,9912000.0,0.0124,0.0068,1176,257200.0,64.146689,addition,0.3118637,Q1 2019,REAL ESTATE,13F,06/30/2021,13.4578,15.7
Abercrombie & fitch co.,ANF,"",213200.0,9899000.0,0.0124,0.0068,1177,54689.0,34.501707,addition,0.3464554,Q2 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,27.0473,37.54
Amedisys inc,AMED,"",40401.0,9895000.0,0.0124,0.0052,1178,24700.0,157.314821,addition,0.1240366,Q2 2018,HEALTH CARE,13F,06/30/2021,217.8892,180.62
Siteone landscape supply inc,SITE,"",58400.0,9885000.0,0.0123,,1179,58400.0,,new,0.1314481,Q4 2019,INDUSTRIALS,13F,06/30/2021,169.26,199.65
Emcore corp.,EMKR,"",1072009.0,9884000.0,0.0123,0.0091,1180,-270385.0,-20.142,reduction,2.9100567,Q4 2014,INFORMATION TECHNOLOGY,13F,06/30/2021,4.66,7.83
Veracyte inc,VCYT,"",246500.0,9855000.0,0.0123,0.0062,1181,154052.0,166.636379,addition,0.3665522,Q1 2021,HEALTH CARE,13F,06/30/2021,45.1443,40.55
American states water co.,AWR,"",123800.0,9850000.0,0.0123,0.0122,1182,-6300.0,-4.842429,reduction,0.3353830,Q4 2011,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,67.11,89.49
Blue bird corp,BLBD,"",396218.0,9850000.0,0.0123,0.0158,1183,-111600.0,-21.976377,reduction,1.4591584,Q3 2016,INDUSTRIALS,13F,06/30/2021,19.33,22.78
Lsi industries inc,LYTS,"",1228171.0,9838000.0,0.0123,0.011,1184,191600.0,18.484021,addition,4.6348218,Q2 2015,INDUSTRIALS,13F,06/30/2021,6.1532,7.41
Washington federal inc,WAFD,"",309076.0,9822000.0,0.0123,0.0088,1185,80100.0,34.981832,addition,0.4268742,Q4 2012,FINANCE,13F,06/30/2021,29.6908,33.45
Cardlytics inc,CDLX,"",77335.0,9816000.0,0.0123,,1186,77335.0,,new,0.2434231,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,126.93,79.82
American eagle outfitters inc,AEO,"",260663.0,9783000.0,0.0122,,1187,260663.0,,new,0.1554185,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,37.53,33.25
Ishares 20+ year treasury bond etf,TLT,"",67745.0,9779000.0,0.0122,0.0068,1188,27445.0,68.101737,addition,No Data,Q4 2017,FINANCE,13F,06/30/2021,152.3095,148.55
Healthcare realty trust inc,HR,"",323300.0,9764000.0,0.0122,0.0118,1189,10800.0,3.456,addition,0.2282224,Q1 2020,REAL ESTATE,13F,06/30/2021,30.1807,30.39
Seaspine holdings corp,SPNE,"",475500.0,9753000.0,0.0122,0.0114,1190,-52300.0,-9.909056,reduction,1.4339097,Q3 2015,HEALTH CARE,13F,06/30/2021,11.18,15.34
Pctel inc,PCTI,"",1487212.0,9741000.0,0.0122,0.0121,1191,84075.0,5.991931,addition,8.0101041,Q3 2005,INFORMATION TECHNOLOGY,13F,06/30/2021,7.3236,6.59
First financial northwest inc,FFNW,"",641745.0,9722000.0,0.0121,0.0119,1192,-31000.0,-4.607987,reduction,6.6211572,Q2 2011,FINANCE,13F,06/30/2021,13.36,16.53
Crh plc adr,CRH,"",191199.0,9721000.0,0.0121,0.0409,1193,-507900.0,-72.650655,reduction,0.0244299,Q4 2016,MATERIALS,13F,06/30/2021,31.2,52.99
Denbury inc.,DEN,"",126600.0,9720000.0,0.0121,0.0081,1194,-8691.0,-6.423931,reduction,0.2531664,Q1 2021,ENERGY,13F,06/30/2021,47.89,67.99
Apartment income reit corp.,AIRC,"",204800.0,9714000.0,0.0121,,1195,204800.0,,new,0.1305909,Q2 2021,REAL ESTATE,13F,06/30/2021,47.43,50.41
Laureate education inc  class a,LAUR,"",669208.0,9710000.0,0.0121,0.0152,1196,-230392.0,-25.610494,reduction,0.5475737,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,13.16,16.1
Qorvo inc,QRVO,"",49606.0,9705000.0,0.0121,,1197,49606.0,,new,0.0440602,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,195.65,188.36
Liberty broadband corp class a,LBRDA,"",57700.0,9703000.0,0.0121,0.0046,1198,32500.0,128.968254,addition,0.2177714,Q2 2015,COMMUNICATIONS,13F,06/30/2021,147.0361,176.98
Booking holdings inc. (priceline),BKNG,"",4399.0,9625000.0,0.012,,1199,4399.0,,new,0.0107155,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,2188.09,2203.42
Leidos holdings inc,LDOS,"",95150.0,9620000.0,0.012,0.0025,1200,74300.0,356.354916,addition,0.0672818,Q1 2021,INDUSTRIALS,13F,06/30/2021,100.0438,95.64
China life insurance co. ltd. ads adr,LFC,"",965931.0,9611000.0,0.012,0.0102,1201,180520.0,22.984145,addition,0.0649045,Q2 2017,FINANCE,13F,06/30/2021,11.1615,8.37
Blackline inc,BL,"",86000.0,9569000.0,0.0119,0.0299,1202,-135500.0,-61.173815,reduction,0.1481573,Q3 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,103.34,112.09
Smith & nephew plc ordinary,SNN,"",220250.0,9568000.0,0.0119,0.012,1203,-34000.0,-13.372665,reduction,0.0501082,Q1 2020,HEALTH CARE,13F,06/30/2021,37.13,38.23
James hardie industries plc adr,JHX,"",279327.0,9550000.0,0.0119,0.0109,1204,-6800.0,-2.376567,reduction,0.0628706,Q3 2014,MATERIALS,13F,06/30/2021,14.1,37.99
Pzena investment management inc,PZN,"",866028.0,9535000.0,0.0119,0.0118,1205,-31522.0,-3.512005,reduction,5.0674855,Q2 2009,FINANCE,13F,06/30/2021,9.08,10.82
Egain corp,EGAN,"",829535.0,9523000.0,0.0119,0.0113,1206,-128000.0,-13.367658,reduction,2.6673993,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2021,8.95,11.12
Humana  inc.,HUM,"",21488.0,9513000.0,0.0119,0.0142,1207,-5800.0,-21.254764,reduction,0.0166555,Q2 2015,HEALTH CARE,13F,06/30/2021,244.95,410.77
Zedge inc,ZDGE,"",515114.0,9483000.0,0.0118,0.0093,1208,-104159.0,-16.819561,reduction,3.7704789,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2021,4.82,15.85
Visteon corp.,VC,"",78400.0,9482000.0,0.0118,,1209,78400.0,,new,0.2803775,Q1 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,120.94,113.28
Marathon oil corp. (1901) (old u.s. steel),MRO,"",696046.0,9480000.0,0.0118,,1210,696046.0,,new,0.0883136,Q1 2020,ENERGY,13F,06/30/2021,13.62,12.1
Brighthouse financial inc,BHF,"",208100.0,9477000.0,0.0118,0.0147,1211,-59000.0,-22.089105,reduction,0.2425578,Q3 2020,FINANCE,13F,06/30/2021,33.21,48.26
Wisdomtree investments inc,WETF,"",1528079.0,9474000.0,0.0118,0.0173,1212,-698800.0,-31.380241,reduction,1.0214996,Q3 2017,FINANCE,13F,06/30/2021,5.35,6.29
Gates industrial corp plc,GTES,"",524300.0,9474000.0,0.0118,0.0097,1213,38300.0,7.880658,addition,0.1797925,Q3 2020,INDUSTRIALS,13F,06/30/2021,14.631,16.7
Spdr consumer discretionary select sector etf,XLY,"",52909.0,9447000.0,0.0118,0.0329,1214,-104600.0,-66.408904,reduction,No Data,Q1 2016,FINANCE,13F,06/30/2021,158.48,181.56
Flexsteel industries inc.,FLXS,"",233393.0,9427000.0,0.0118,0.0111,1215,-22600.0,-8.828366,reduction,N/A,Q3 2016,CONSUMER DISCRETIONARY,13F,06/30/2021,26.09,36.44
Sea ltd adr,SE,"",34300.0,9419000.0,0.0118,0.0983,1216,-319700.0,-90.310734,reduction,0.0093355,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,223.23,306.71
Navistar international corp. (international harvester),NAV,"",211301.0,9403000.0,0.0117,0.0536,1217,-766604.0,-78.392482,reduction,0.2118416,Q4 2017,INDUSTRIALS,13F,06/30/2021,31.07,
Embotelladora andina s.a.  class b adr,AKO.B,"",648381.0,9402000.0,0.0117,0.0126,1218,3975.0,0.616847,addition,0.8219818,Q4 2006,CONSUMER STAPLES,13F,06/30/2021,21.1788,14.15
Centrus energy corp,LEU,"",370135.0,9394000.0,0.0117,0.014,1219,-102700.0,-21.72005,reduction,2.8183508,Q2 2019,ENERGY,13F,06/30/2021,,23.12
Mednax inc,MD,"",311300.0,9386000.0,0.0117,,1220,311300.0,,new,0.3608089,Q2 2018,HEALTH CARE,13F,06/30/2021,30.15,33.0
Teva pharmaceutical industries ltd  adr,TEVA,"",946363.0,9369000.0,0.0117,,1221,946363.0,,new,0.0866483,Q2 2021,HEALTH CARE,13F,06/30/2021,9.9,9.83
Playtika holding corp,PLTK,"",392993.0,9369000.0,0.0117,,1222,392993.0,,new,0.0959446,Q2 2021, ,13F,06/30/2021,23.84,24.43
Liberty media corp series c,FWONK,"",193979.0,9352000.0,0.0117,0.0101,1223,7100.0,3.79925,addition,0.0952870,Q4 2019,COMMUNICATIONS,13F,06/30/2021,43.0366,48.78
Zions bancorp,ZION,"",176895.0,9351000.0,0.0117,0.0096,1224,37100.0,26.53886,addition,0.1079842,Q4 2018,FINANCE,13F,06/30/2021,37.7184,55.41
Knowles corp.,KN,"",473674.0,9350000.0,0.0117,0.0131,1225,-29024.0,-5.773645,reduction,0.5104606,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2021,19.48,19.94
Asbury automotive group  inc.,ABG,"",54500.0,9340000.0,0.0117,,1226,54500.0,,new,0.2818095,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,171.37,195.11
Cowen inc cl a,COWN,"",227428.0,9336000.0,0.0117,0.0035,1227,148300.0,187.417855,addition,0.8464838,Q3 2018,FINANCE,13F,06/30/2021,33.3574,38.87
China southern airlines co ltd. adr,ZNH,"",298810.0,9284000.0,0.0116,0.0153,1228,-37201.0,-11.071364,reduction,0.3494735,Q1 2007,TRANSPORTS,13F,06/30/2021,40.65,26.8
Cc neuberger principal holdings i,ETWO,"",812800.0,9282000.0,0.0116,,1229,812800.0,,new,0.4345336,Q2 2021,FINANCE,13F,06/30/2021,11.42,10.85
Allakos inc,ALLK,"",108400.0,9254000.0,0.0116,,1230,108400.0,,new,0.2023531,Q2 2021,HEALTH CARE,13F,06/30/2021,85.37,82.39
Bcb bancorp inc (nj),BCBP,"",687158.0,9242000.0,0.0115,0.0083,1231,201490.0,41.487189,addition,4.0134641,Q4 2015,FINANCE,13F,06/30/2021,13.3935,15.27
Bridgewater bancshares inc,BWB,"",570647.0,9216000.0,0.0115,0.0115,1232,-200.0,-0.035036,reduction,2.0276745,Q3 2018,FINANCE,13F,06/30/2021,12.39,15.96
Sonoco products co.,SON,"",137700.0,9212000.0,0.0115,0.0237,1233,-163100.0,-54.222074,reduction,0.1368602,Q2 2020,MATERIALS,13F,06/30/2021,56.31,64.87
Norwegian cruise line holdings ltd,NCLH,"",312500.0,9191000.0,0.0115,,1234,312500.0,,new,0.0844747,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,29.41,25.04
National fuel gas co.,NFG,"",175900.0,9191000.0,0.0115,0.0014,1235,153400.0,681.777778,addition,0.1929306,Q2 2020,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,51.9609,52.75
Sportsmans warehouse holdings inc,SPWH,"",515000.0,9152000.0,0.0114,0.0128,1236,-82400.0,-13.793103,reduction,1.1749615,Q4 2019,CONSUMER DISCRETIONARY,13F,06/30/2021,16.72,17.66
Invesco variable rate preferred etf,VRP,"",348000.0,9152000.0,0.0114,0.0042,1237,217000.0,165.648855,addition,No Data,Q3 2020,FINANCE,13F,06/30/2021,26.0327,26.42
First trust senior loan fund etf,FTSL,"",190400.0,9141000.0,0.0114,0.0037,1238,127600.0,203.184713,addition,No Data,Q4 2017,FINANCE,13F,06/30/2021,47.6109,47.88
Range resources corp.,RRC,"",544771.0,9130000.0,0.0114,,1239,544771.0,,new,0.2098538,Q3 2020,ENERGY,13F,06/30/2021,16.76,13.77
Aduro biotech inc,KDNY,"",645142.0,9109000.0,0.0114,0.0143,1240,-96700.0,-13.035121,reduction,1.4459784,Q4 2016,HEALTH CARE,13F,06/30/2021,9.06,12.5
Plains gp holdings lp,PAGP,"",762737.0,9107000.0,0.0114,0.0025,1241,546074.0,252.038419,addition,0.3929643,Q4 2014,ENERGY,13F,06/30/2021,11.2185,10.53
Methanex corp,MEOH,"",275348.0,9106000.0,0.0114,0.018,1242,-118002.0,-29.999237,reduction,0.3613051,Q1 2017,MATERIALS,13F,06/30/2021,45.45,33.46
Azure power global ltd,AZRE,"",337517.0,9086000.0,0.0113,0.0127,1243,-36500.0,-9.758915,reduction,0.7006760,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,22.27,24.2
Brinker international inc.,EAT,"",146800.0,9080000.0,0.0113,,1244,146800.0,,new,0.3208679,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,61.85,53.29
Enel chile s.a. ads adr,ENIC,"",3075494.0,9073000.0,0.0113,0.0174,1245,-494567.0,-13.853181,reduction,0.2223252,Q2 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,4.25,2.45
Lifevantage corp,LFVN,"",1234481.0,9073000.0,0.0113,0.0141,1246,23563.0,1.945879,addition,8.8146678,Q1 2014,HEALTH CARE,13F,06/30/2021,44.7228,7.14
1st source corp,SRCE,"",195240.0,9071000.0,0.0113,0.0148,1247,-54600.0,-21.853987,reduction,0.7726553,Q4 2014,FINANCE,13F,06/30/2021,41.66,47.16
Cherry hill mortgage investment corp,CHMI,"",919076.0,9062000.0,0.0113,0.0105,1248,18483.0,2.052314,addition,N/A,Q1 2015,REAL ESTATE,13F,06/30/2021,13.515,9.11
Caesarstone ltd,CSTE,"",608678.0,8984000.0,0.0112,0.0117,1249,-73900.0,-10.826602,reduction,1.7674965,Q2 2019,INDUSTRIALS,13F,06/30/2021,13.73,13.97
Retail value inc,RVI,"",412566.0,8973000.0,0.0112,0.0114,1250,-77700.0,-15.848539,reduction,1.9568423,Q2 2019,REAL ESTATE,13F,06/30/2021,27.7,25.23
Amn healthcare services inc,AMN,"",92500.0,8971000.0,0.0112,,1251,92500.0,,new,0.1957378,Q2 2021,HEALTH CARE,13F,06/30/2021,96.98,105.66
The york water co,YORW,"",197936.0,8967000.0,0.0112,0.0111,1252,15100.0,8.258767,addition,1.5140753,Q2 2012,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,30.0403,49.34
Spdr s&p financial etf,XLF,"",244400.0,8967000.0,0.0112,0.0022,1253,192100.0,367.304015,addition,No Data,Q3 2015,FINANCE,13F,06/30/2021,36.1251,38.58
Terreno realty corp,TRNO,"",138800.0,8955000.0,0.0112,0.0042,1254,80900.0,139.723661,addition,0.1995322,Q2 2014,REAL ESTATE,13F,06/30/2021,61.7043,67.49
Welbilt inc,WBT,"",386800.0,8954000.0,0.0112,0.0136,1255,-287600.0,-42.645314,reduction,0.2721720,Q4 2018,INDUSTRIALS,13F,06/30/2021,12.59,23.24
Cooper companies (the),COO,"",22498.0,8915000.0,0.0111,,1256,22498.0,,new,0.0456831,Q2 2021,HEALTH CARE,13F,06/30/2021,396.27,436.99
Simpson manufacturing co.  inc.,SSD,"",80700.0,8913000.0,0.0111,0.0119,1257,-11400.0,-12.37785,reduction,0.1858130,Q1 2014,INDUSTRIALS,13F,06/30/2021,68.54,112.54
Argenx se ads adr,ARGX,"",29600.0,8912000.0,0.0111,0.0112,1258,-3122.0,-9.540982,reduction,0.0576935,Q4 2017,HEALTH CARE,13F,06/30/2021,188.49,311.01
Independent bank corp. (ma),INDB,"",117957.0,8906000.0,0.0111,,1259,117957.0,,new,0.3570262,Q2 2021,FINANCE,13F,06/30/2021,75.5,76.13
Deluxe corp.,DLX,"",186145.0,8892000.0,0.0111,0.0154,1260,-109200.0,-36.973709,reduction,0.4410854,Q3 2018,INDUSTRIALS,13F,06/30/2021,40.3,42.07
Abcellera biologics inc.,ABCL,"",403200.0,8870000.0,0.0111,,1261,403200.0,,new,0.1488230,Q2 2021,HEALTH CARE,13F,06/30/2021,22.0,17.89
Foster (l.b.) co.,FSTR,"",475832.0,8870000.0,0.0111,0.0145,1262,-173200.0,-26.685895,reduction,4.4038118,Q4 2014,INDUSTRIALS,13F,06/30/2021,22.78,18.25
Bank of the ozarks,OZK,"",209797.0,8845000.0,0.011,0.0123,1263,-31800.0,-13.162415,reduction,0.1725628,Q4 2018,FINANCE,13F,06/30/2021,29.61,43.0
Vaneck vectors semiconductor etf,SMH,"",33700.0,8837000.0,0.011,0.0208,1264,-34800.0,-50.80292,reduction,No Data,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2021,236.65,262.45
Terminix global holdings,TMX,"",185100.0,8831000.0,0.011,0.0095,1265,25600.0,16.050157,addition,0.1439920,Q3 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,40.9629,42.12
Bloom energy corp,BE,"",328600.0,8829000.0,0.011,0.04,1266,-860500.0,-72.365655,reduction,0.2272207,Q3 2019,INDUSTRIALS,13F,06/30/2021,27.05,21.24
