Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Vanguard intermediate-term corp bond etf,VCIT,"",4225.0,402000.0,0.1278,,152,4225.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,95.07,95.52
Vanguard ftse all world ex us etf,VEU,"",6280.0,398000.0,0.1265,,153,6280.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,63.39,63.62
Ishares select dividend etf-ishares select dividend etf,DVY,"",3387.0,395000.0,0.1256,,154,3387.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,116.62,119.44
Ishares core u.s. aggregate bond etf,AGG,"",3392.0,391000.0,0.1243,,155,3392.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,115.33,115.97
Match group inc.,MTCH,"",2421.0,390000.0,0.124,0.1735,156,4.0,0.165494,addition,0.0008958,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,137.4194,136.25
Henry (jack) & associates  inc.,JKHY,"",2369.0,387000.0,0.123,0.1861,157,0.0,0.0,,0.0031892,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,151.72,177.12
Magellan midstream partners lp,MMP,"",7897.0,386000.0,0.1227,,158,7897.0,,new,0.0035368,Q2 2021,ENERGY,13F,06/30/2021,48.91,48.48
American electric power company inc,AEP,"",4563.0,386000.0,0.1227,,159,4563.0,,new,0.0009131,Q2 2021,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,84.59,89.69
Quanta services  inc.,PWR,"",4265.0,386000.0,0.1227,0.2049,160,0.0,0.0,,0.0030607,Q1 2021,INDUSTRIALS,13F,06/30/2021,87.98,97.47
Avantis u.s. equity etf,AVUS,"",5110.0,379000.0,0.1205,0.1836,161,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,69.36,76.29
Applied materials inc.,AMAT,"",2654.0,378000.0,0.1202,,162,2654.0,,new,0.0002904,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,142.4,129.9
Ishares microcap etf,IWC,"",2445.0,373000.0,0.1186,,163,2445.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,152.6,143.82
Ishares russell 2000 growth etf-ishares russell 2000 growth etf,IWO,"",1170.0,365000.0,0.116,,164,1170.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,311.69,297.24
At&t inc. (southwestern bell - sbc corp.),T,"",12684.0,365000.0,0.116,0.1993,165,379.0,3.080049,addition,0.0001776,Q1 2021,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,30.2255,28.19
Schwab u.s. reit etf,SCHH,"",7952.0,364000.0,0.1157,0.1542,166,780.0,10.875627,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,41.551,47.95
Verizon communications (bell atlantic corp.),VZ,"",6266.0,351000.0,0.1116,0.1344,167,1730.0,38.13933,addition,0.0001514,Q1 2021,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,57.5647,55.87
Western asset mortgage opp fund,DMO,"",22500.0,351000.0,0.1116,0.1694,168,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,14.64,15.85
Nucor corp. (nuclear corp. of america),NUE,"",3656.0,351000.0,0.1116,,169,3656.0,,new,0.0012218,Q2 2021,MATERIALS,13F,06/30/2021,95.93,126.17
Raytheon technologies corp. (united technologies),RTX,"",4068.0,347000.0,0.1103,0.1461,170,566.0,16.162193,addition,0.0002685,Q1 2021,INDUSTRIALS,13F,06/30/2021,78.3886,87.25
Equifax inc.,EFX,"",1434.0,343000.0,0.109,0.1658,171,34.0,2.428571,addition,0.0011783,Q1 2021,INDUSTRIALS,13F,06/30/2021,182.5142,260.1
Vanguard total international bond etf,BNDX,"",5768.0,329000.0,0.1046,,172,5768.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,57.1,57.94
Ishares msci kld 400 social etf-ishares msci kld 400 social etf,DSI,"",3885.0,322000.0,0.1024,,173,3885.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,82.83,86.33
Citigroup  inc.,C,"",4539.0,321000.0,0.102,0.1521,174,504.0,12.490706,addition,0.0002196,Q1 2021,FINANCE,13F,06/30/2021,72.5279,73.11
Sempra energy  inc.,SRE,"",2403.0,318000.0,0.1011,,175,2403.0,,new,0.0007937,Q2 2021,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,132.48,133.77
Palantir technologies inc.,PLTR,"",12051.0,318000.0,0.1011,,176,12051.0,,new,0.0006676,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,26.36,24.9
Vanguard extended market index etf,VXF,"",1688.0,318000.0,0.1011,,177,1688.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,188.59,186.96
Vanguard russell 1000 value etf,VONV,"",4546.0,316000.0,0.1005,0.1582,178,-4546.0,-50.0,reduction,No Data,Q1 2021,FINANCE,13F,06/30/2021,66.47,71.59
Sorrento therapeutics inc,SRNE,"",32500.0,315000.0,0.1001,,179,32500.0,,new,0.0113075,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,9.69,9.04
Pgim global high yield fund,GHY,"",19500.0,311000.0,0.0989,0.1385,180,1400.0,7.734807,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,14.9932,15.86
Ishares russell 1000 value etf,IWD,"",1950.0,309000.0,0.0982,0.1547,181,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,151.55,163.19
Ishares russell 1000 growth etf,IWF,"",1123.0,305000.0,0.097,0.1329,182,53.0,4.953271,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,244.3822,283.64
Ies holdings inc. (integrated electrical services inc.),IESC,"",5928.0,304000.0,0.0966,0.1456,183,0.0,0.0,,0.0284448,Q1 2021,INDUSTRIALS,13F,06/30/2021,50.41,49.73
United rentals  inc.,URI,"",950.0,303000.0,0.0963,,184,950.0,,new,N/A,Q2 2021,INDUSTRIALS,13F,06/30/2021,319.01,353.11
Stryker corp.,SYK,"",1159.0,301000.0,0.0957,0.1308,185,103.0,9.753788,addition,0.0003076,Q1 2021,HEALTH CARE,13F,06/30/2021,245.0152,263.15
Mfs investment grade municipal trust,CXH,"",28954.0,298000.0,0.0947,0.1461,186,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,9.81,10.55
Vanguard ftseeuropean etf,VGK,"",4355.0,293000.0,0.0931,0.1461,187,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,63.0,70.38
Capital one financial corp,COF,"",1885.0,292000.0,0.0928,0.1187,188,358.0,23.444663,addition,0.0004175,Q1 2021,FINANCE,13F,06/30/2021,132.4452,177.73
Ishares russell mid-cap value etf,IWS,"",2506.0,288000.0,0.0916,,189,2506.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,114.98,117.67
Corning inc.,GLW,"",7032.0,288000.0,0.0916,0.1542,190,-70.0,-0.985638,reduction,0.0008260,Q1 2021,MATERIALS,13F,06/30/2021,43.51,40.31
Northrop grumman corp.,NOC,"",781.0,284000.0,0.0903,0.1278,191,87.0,12.536023,addition,0.0004852,Q1 2021,INDUSTRIALS,13F,06/30/2021,328.0724,363.11
Waste management  inc.,WM,"",2000.0,280000.0,0.089,,192,2000.0,,new,0.0004738,Q2 2021,INDUSTRIALS,13F,06/30/2021,140.11,150.61
Ishares gold trust,IAU,"",8208.0,277000.0,0.0881,,193,8208.0,,new,No Data,Q2 2021,MATERIALS,13F,06/30/2021,33.71,33.87
Vanguard value etf,VTV,"",1965.0,270000.0,0.0858,,194,1965.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,137.46,142.18
Abbvie inc,ABBV,"",2391.0,269000.0,0.0855,,195,2391.0,,new,N/A,Q2 2021,HEALTH CARE,13F,06/30/2021,112.64,116.48
Kimberly-clark corp.,KMB,"",1989.0,266000.0,0.0846,0.1101,196,354.0,21.651376,addition,0.0005895,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,138.1121,136.48
Cme group inc,CME,"",1250.0,266000.0,0.0846,0.139,197,-30.0,-2.34375,reduction,0.0003481,Q1 2021,FINANCE,13F,06/30/2021,204.23,207.03
Caterpillar inc.,CAT,"",1207.0,263000.0,0.0836,0.1324,198,107.0,9.727273,addition,0.0002203,Q1 2021,INDUSTRIALS,13F,06/30/2021,230.6076,218.57
Coinbase global inc,COIN,"",1038.0,263000.0,0.0836,,199,1038.0,,new,0.0007321,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,253.3,261.25
Dennys corp.,DENN,"",15905.0,262000.0,0.0833,0.1303,200,0.0,0.0,,0.0247954,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,18.11,16.45
Nike inc.,NKE,"",1681.0,260000.0,0.0827,,201,1681.0,,new,0.0001318,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,154.49,171.69
Impac mortgage holdings  inc.,IMH,"",121319.0,257000.0,0.0817,,202,121319.0,,new,0.5687001,Q2 2021,REAL ESTATE,13F,06/30/2021,2.12,1.65
Boston scientific inc.,BSX,"",6018.0,257000.0,0.0817,0.1293,203,-150.0,-2.431907,reduction,0.0004235,Q1 2021,HEALTH CARE,13F,06/30/2021,38.65,44.33
Ishares russell 2000 value etf,IWN,"",1518.0,252000.0,0.0801,,204,1518.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,165.77,161.43
Kinder morgan inc. (de),KMI,"",13767.0,251000.0,0.0798,,205,13767.0,,new,0.0006079,Q2 2021,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,18.23,17.21
Chevron corp. (standard oil of california),CVX,"",2399.0,251000.0,0.0798,0.1035,206,502.0,26.462836,addition,0.0001244,Q1 2021,ENERGY,13F,06/30/2021,104.7795,101.96
Crowdstrike holdings inc,CRWD,"",1000.0,251000.0,0.0798,,207,1000.0,,new,0.0005019,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,251.31,243.82
Vanguard information technology etf,VGT,"",627.0,250000.0,0.0795,0.1121,208,0.0,0.0,,No Data,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,358.49,416.08
Fortune brands home & security inc,FBHS,"",2479.0,247000.0,0.0785,0.1303,209,0.0,0.0,,0.0017886,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,95.82,102.51
Trimble navigation ltd.,TRMB,"",2972.0,243000.0,0.0772,,210,2972.0,,new,0.0011842,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,81.83,88.9
Oreilly automotive inc.,ORLY,"",421.0,238000.0,0.0757,0.1349,211,-64.0,-13.195876,reduction,0.0006035,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,507.25,594.03
Tapestry inc,TPR,"",5350.0,233000.0,0.0741,,212,5350.0,,new,0.0019185,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,43.48,44.23
Hci group inc,HCI,"",2323.0,231000.0,0.0734,,213,2323.0,,new,0.0273830,Q2 2021,FINANCE,13F,06/30/2021,99.43,112.27
Spdr s&p health care etf,XLV,"",1825.0,230000.0,0.0731,0.1253,214,-202.0,-9.965466,reduction,No Data,Q1 2021,HEALTH CARE,13F,06/30/2021,116.74,133.69
Spdr dow jones industrial average etf trust,DIA,"",667.0,230000.0,0.0731,0.1136,215,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,330.18,355.39
Intel corp.,INTC,"",4071.0,229000.0,0.0728,,216,4071.0,,new,0.0001008,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,56.14,53.49
Carrier global corp.,CARR,"",4672.0,227000.0,0.0722,,217,4672.0,,new,0.0005376,Q2 2021,INDUSTRIALS,13F,06/30/2021,48.6,56.15
Metlife inc.,MET,"",3742.0,224000.0,0.0712,0.1288,218,-260.0,-6.496752,reduction,0.0004275,Q1 2021,FINANCE,13F,06/30/2021,60.79,62.49
Avantis international equity etf,AVDE,"",3540.0,223000.0,0.0709,0.1121,219,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,60.51,65.05
Ishares russell 1000 etf,IWB,"",905.0,219000.0,0.0696,0.1045,220,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,223.83,251.04
Liberty tripadvisor holdings inc a,LTRPA,"",50000.0,204000.0,0.0648,,221,50000.0,,new,0.0691656,Q2 2021,COMMUNICATIONS,13F,06/30/2021,4.07,3.69
Vanguard ftse pacific etf,VPL,"",2475.0,204000.0,0.0648,,222,2475.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,82.31,82.62
Hyliion holdings corp,HYLN,"",14500.0,169000.0,0.0537,,223,14500.0,,new,0.0084145,Q2 2021,INDUSTRIALS,13F,06/30/2021,11.65,8.72
Loandepot  inc. class a,LDI,"",13000.0,167000.0,0.0531,,224,13000.0,,new,0.1956892,Q2 2021,FINANCE,13F,06/30/2021,12.85,8.95
Mustang bio inc,MBIO,"",40000.0,133000.0,0.0423,,225,40000.0,,new,0.0462599,Q2 2021,HEALTH CARE,13F,06/30/2021,3.32,2.73
Doma holdings inc,DOMA,"",10000.0,100000.0,0.0318,,226,10000.0,,new,0.0289855,Q2 2021,FINANCE,13F,06/30/2021,9.97,8.46
Saba capital income & opportunities fund,BRW,"",16440.0,77000.0,0.0245,,227,16440.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,4.71,4.59
Biosig technologies inc,BSGM,"",17300.0,67000.0,0.0213,0.0269,228,0.0,0.0,,N/A,Q1 2021, ,13F,06/30/2021,,
Ebang international holdings inc.,EBON,"",16000.0,49000.0,0.0156,,229,16000.0,,new,0.0114935,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,3.08,2.45
General electric co,GE,"",0.0,0.0,,0.1258,"",-2418.75,-100.0,soldall,0.0000000,Q1 2021,INDUSTRIALS,13F,06/30/2021,13.13,104.92
Blackrock muniyield new york quality fund inc,MYN,"",0.0,0.0,,0.215,"",-31000.0,-100.0,soldall,No Data,Q1 2021,FINANCE,13F,06/30/2021,13.45,14.39
Iac/interactivecorp,IAC,"",0.0,0.0,,0.1248,"",-1683.36,-100.0,soldall,No Data,Q1 2021,COMMUNICATIONS,13F,06/30/2021,143.92,124.28
Hp inc,HPQ,"",0.0,0.0,,0.6329,"",-39076.0,-100.0,soldall,0.0000000,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,31.75,29.01
Vanguard mortgage-backed securities etf,VMBS,"",0.0,0.0,,0.1385,"",-5125.0,-100.0,soldall,No Data,Q1 2021,FINANCE,13F,06/30/2021,53.37,53.46
